rule,tuple,bc,n_points,N_min,N_max,n_att_at_Nmax,d_max_at_Nmax,depth_at_Nmax,attractor_class,coherent_attractor,wall_hadamard,n_recurrent_growth,n_recurrent_kappa,n_recurrent_base,n_recurrent_period,n_recurrent_irregular_kind,n_recurrent_parity_split,n_recurrent_irregular,n_recurrent_resid,n_recurrent_model,n_recurrent_kappa_even,n_recurrent_kappa_odd,n_recurrent_rec_order,n_recurrent_rec_coeffs,n_recurrent_base_exact,n_recurrent_base_name,d_max_growth,d_max_kappa,d_max_base,d_max_period,d_max_irregular_kind,d_max_parity_split,d_max_irregular,d_max_resid,d_max_model,d_max_kappa_even,d_max_kappa_odd,d_max_rec_order,d_max_rec_coeffs,d_max_base_exact,d_max_base_name,max_basin_growth,max_basin_kappa,max_basin_base,max_basin_period,max_basin_irregular_kind,max_basin_parity_split,max_basin_irregular,max_basin_resid,max_basin_model,max_basin_kappa_even,max_basin_kappa_odd,max_basin_rec_order,max_basin_rec_coeffs,max_basin_base_exact,max_basin_base_name,transient_depth_growth,transient_depth_kappa,transient_depth_base,transient_depth_period,transient_depth_irregular_kind,transient_depth_parity_split,transient_depth_irregular,transient_depth_resid,transient_depth_model,transient_depth_kappa_even,transient_depth_kappa_odd,transient_depth_rec_order,transient_depth_rec_coeffs,transient_depth_base_exact,transient_depth_base_name
24,DIVD,pbc,12,6,17,1,1,11,unique-point,False,False,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,exponential,0.6931471805599452,1.9999999999999998,1,,False,False,3.759489045762708e-15,M2,0.6931471805599452,0.6931471805599452,1,2,2.0,2,polynomial,0.08707244704938567,1.0909757148268036,1,,False,False,0.08179683903730238,M1,0.0897020945651394,0.07927938001902039,,,,
24,DIVD,obc0,12,6,17,1,1,52,unique-point,,False,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,exponential,0.6931471805599452,1.9999999999999998,1,,False,False,3.759489045762708e-15,M2,0.6931471805599452,0.6931471805599452,1,2,2.0,2,polynomial,0.16255608738724833,1.1765143042115722,1,,False,False,0.054375863079553804,M1,0.16660409044596264,0.16235337356980686,,,,
25,VIVD,pbc,12,6,17,1,47479,1,extended,True,False,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,exponential,0.634583364695606,1.886236105171037,1,,False,False,0.013839551990816795,M2,0.6353539023711932,0.6349824635911029,4,"0,3,0,2",1.887207676120684,$\sqrt{(3+\sqrt{17})/2}$,exponential,0.6931471805599452,1.9999999999999998,1,,False,False,3.759489045762708e-15,M2,0.6931471805599452,0.6931471805599452,1,2,2.0,2,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,
25,VIVD,obc0,12,6,17,1,51005,1,extended,,False,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,exponential,0.6338690864562163,1.884889288824828,1,,False,False,0.02871521377516184,M2,0.6350738089974327,0.6351021816353469,4,"0,3,0,2",1.887207676120684,$\sqrt{(3+\sqrt{17})/2}$,exponential,0.6931471805599452,1.9999999999999998,1,,False,False,3.759489045762708e-15,M2,0.6931471805599452,0.6931471805599452,1,2,2.0,2,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,
26,DEVD,pbc,12,6,17,1,1,3,unique-point,True,False,constant,-0.029706307738283363,0.9707305877491863,2,,True,False,0.34657359027997264,M0,-0.029706307738283363,0.0,2,"0,1",1.0,,irregular,,,1,undetermined,False,True,2.0255818324395665,M0,0.024138481129719676,0.0,,,,,irregular,,,1,undetermined,False,True,0.05389038947084902,M2,0.7139429493098318,0.6931471805599452,,,,,irregular,,,2,undetermined,True,True,0.5493061443340549,M0,0.04708338380006181,-3.4284394169297903e-17,2,"0,1",1.0,
26,DEVD,obc0,12,6,17,1,1,3,unique-point,,False,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,exponential,0.6931471805599452,1.9999999999999998,1,,False,False,3.759489045762708e-15,M2,0.6931471805599452,0.6931471805599452,1,2,2.0,2,constant,-2.413966229903785e-17,1.0,1,,False,False,2.220446049250313e-16,M0,-5.006000154191087e-17,-1.5386180959570884e-18,1,1,1.0,
27,VEVD,pbc,12,6,17,1,13122,1,extended,True,False,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,exponential,0.5523237884506818,1.7372854146163457,1,,False,False,0.0710961369859677,M2,0.5493061443340547,0.5493061443340549,2,"0,3",1.7320508075688776,$\sqrt{3}$,exponential,0.6931471805599452,1.9999999999999998,1,,False,False,3.759489045762708e-15,M2,0.6931471805599452,0.6931471805599452,1,2,2.0,2,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,
27,VEVD,obc0,12,6,17,1,13122,1,extended,,False,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,exponential,0.5462885002174276,1.7268319728928971,1,,False,False,0.07109613698596806,M2,0.5493061443340547,0.5493061443340549,2,"0,3",1.7320508075688776,$\sqrt{3}$,exponential,0.6931471805599452,1.9999999999999998,1,,False,False,3.759489045762708e-15,M2,0.6931471805599452,0.6931471805599452,1,2,2.0,2,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,
28,IIVD,pbc,12,6,17,120,32,14,multi-extended,False,False,exponential,0.2702167600531645,1.3102484294737433,1,,False,False,0.022807373256501416,M2,0.2680910163937019,0.2728729669300429,4,"1,1,0,-1",1.324717957244747,plastic $\rho$,exponential,0.2310490601866486,1.2599210498948734,3,,False,False,9.992007221626409e-16,M1,0.1782378464297002,0.25745466706512266,1,2,1.2599210498948732,$2^{1/3}$,exponential,0.5525430877687296,1.7376664419010104,2,,True,False,0.0017631994905831783,M2,0.5525430877687296,0.5493061443340549,2,"4,-3",1.7320508075688772,$\sqrt{3}$,polynomial,0.11980978930728506,1.1272824100173884,1,,False,False,0.0695914125314428,M1,0.12237714193529833,0.12237714193529838,3,"1,1,-1",1.0,
28,IIVD,obc0,12,6,17,264,64,14,multi-extended,,False,exponential,0.28794768769342044,1.3336875340273218,1,,False,False,0.0024404076935180975,M2,0.2892482648572745,0.28650485771541057,4,"1,1,0,-1",1.324717957244747,plastic $\rho$,exponential,0.23104906018664867,1.2599210498948734,3,,False,False,1.3136335981433192e-15,M2,0.2178462567474113,0.25745466706512266,1,2,1.2599210498948732,$2^{1/3}$,exponential,0.5214485662702305,1.684465943806771,1,,False,False,0.06624893786953806,M2,0.5359782148633817,0.5044346553671125,,,,,polynomial,0.11980978930728506,1.1272824100173884,1,,False,False,0.0695914125314428,M1,0.12237714193529833,0.12237714193529838,3,"1,1,-1",1.0,
